countrygrouprelationid,countrygroupid,countryid
1584,5105,324
1585,5105,624
1586,5105,430
1587,5105,466
1588,5105,478
1589,5105,562
1590,5105,566
1591,5105,654
1592,5105,686
1593,5105,694
1594,5105,768
1595,5105,875
1596,5305,51
1597,5305,31
1598,5305,48
1599,5305,196
1600,5305,268
1601,5305,368
1602,5305,376
1603,5305,400
1604,5305,414
1605,5305,422
1606,5305,512
1607,5305,275
1608,5305,634
1609,5305,682
1610,5305,760
1611,5305,792
1612,5305,784
1613,5305,887
1614,5305,886
1615,5305,720
1616,5828,48
1617,5828,368
1618,5828,400
1619,5828,414
1620,5828,422
1621,5828,512
1622,5828,275
1623,5828,634
1624,5828,682
1625,5828,760
1626,5828,792
1627,5828,784
1628,5828,887
1629,5308,12
1630,5308,51
1631,5308,31
1632,5308,48
1633,5308,196
1634,5308,818
1635,5308,268
1636,5308,368
1637,5308,376
1638,5308,400
1639,5308,414
1640,5308,422
1641,5308,434
1642,5308,504
1643,5308,512
1644,5308,275
1645,5308,634
1646,5308,682
1647,5308,729
1648,5308,760
1649,5308,788
1650,5308,792
1651,5308,784
1652,5308,887
1653,5404,40
1654,5404,56
1655,5404,58
1656,5404,250
1657,5404,276
1658,5404,438
1659,5404,442
1660,5404,492
1661,5404,528
1662,5404,756
1663,5404,155.01
1664,5000,4
1665,5000,248
1666,5000,8
1667,5000,12
1668,5000,16
1669,5000,20
1670,5000,24
1671,5000,660
1672,5000,10
1673,5000,28
1674,5000,32
1675,5000,51
1676,5000,533
1677,5000,36
1678,5000,40
1679,5000,31
1680,5000,44
1681,5000,48
1682,5000,50
1683,5000,52
1684,5000,112
1685,5000,56
1686,5000,58
1687,5000,84
1688,5000,204
1689,5000,60
1690,5000,64
1691,5000,68
1692,5000,535
1693,5000,70
1694,5000,72
1695,5000,74
1696,5000,76
1697,5000,92
1698,5000,96
1699,5000,100
1700,5000,854
1701,5000,108
1702,5000,132
1703,5000,116
1704,5000,120
1705,5000,124
1706,5000,29.01
1707,5000,136
1708,5000,140
1709,5000,148
1710,5000,86
1711,5000,830
1712,5000,152
1713,5000,159
1714,5000,344
1715,5000,446
1716,5000,156
1717,5000,158
1718,5000,162
1719,5000,166
1720,5000,170
1721,5000,174
1722,5000,178
1723,5000,184
1724,5000,188
1725,5000,384
1726,5000,191
1727,5000,192
1728,5000,531
1729,5000,196
1730,5000,203
1731,5000,200
1732,5000,408
1733,5000,180
1734,5000,208
1735,5000,262
1736,5000,212
1737,5000,214
1738,5000,218
1739,5000,818
1740,5000,222
1741,5000,226
1742,5000,232
1743,5000,233
1744,5000,748
1745,5000,231
1746,5000,230
1747,5000,238
1748,5000,234
1749,5000,242
1750,5000,246
1751,5000,250
1752,5000,254
1753,5000,258
1754,5000,260
1755,5000,266
1756,5000,270
1757,5000,268
1758,5000,276
1759,5000,280
1760,5000,278
1761,5000,288
1762,5000,292
