forestfireid,countryid,elementid,itemid,fireyear,burntarea
560,12,7246,6797,2005,7300.606
561,12,7246,6797,2006,8889.8124
562,12,7246,6797,2007,31091.9644
563,12,7246,6797,2008,16834.3515
564,12,7246,6797,2009,3864.9898
565,12,7246,6797,2010,1588.9236
566,12,7246,6797,2011,14429.736
567,12,7246,6797,2012,30576.6309
568,12,7246,6797,2013,1932.5092
569,12,7246,6797,2014,4122.6522
570,12,7246,6797,2015,579.7337
571,12,7246,6797,2016,6806.6994
572,12,7246,6797,2017,47175.0079
573,12,7246,6797,2018,0
574,12,7246,6797,2019,5282.1
575,12,7246,6797,2020,17714.5861
576,12,7246,6797,2021,41763.1814
577,12,7246,6791,1990,1522.92
578,12,7246,6791,1991,1522.92
579,12,7246,6791,1992,1522.92
580,12,7246,6791,1993,1522.92
581,12,7246,6791,1994,1522.92
582,12,7246,6791,1995,1522.92
583,12,7246,6791,1996,7672.7293
584,12,7246,6791,1997,6008.4885
585,12,7246,6791,1998,7649.8309
586,12,7246,6791,1999,7491.2803
587,12,7246,6791,2000,10150.8918
588,12,7246,6791,2001,0
589,12,7246,6791,2002,0
590,12,7246,6791,2003,64.422
591,12,7246,6791,2004,0
592,12,7246,6791,2005,0
593,12,7246,6791,2006,107.3672
594,12,7246,6791,2007,107.3608
595,12,7246,6791,2008,42.9474
596,12,7246,6791,2009,21.471
597,12,7246,6791,2010,0
598,12,7246,6791,2011,42.942
599,12,7246,6791,2012,64.4137
600,12,7246,6791,2013,0
601,12,7246,6791,2014,21.4709
602,12,7246,6791,2015,0
603,12,7246,6791,2016,0
604,12,7246,6791,2017,64.4136
605,12,7246,6791,2018,0
606,12,7246,6791,2019,0
607,12,7246,6791,2020,21.4711
608,12,7246,6791,2021,64.4195
609,12,7246,6794,1990,30667.4929
610,12,7246,6794,1991,30667.4929
611,12,7246,6794,1992,30667.4929
612,12,7246,6794,1993,30667.4929
613,12,7246,6794,1994,30667.4929
614,12,7246,6794,1995,30667.4929
615,12,7246,6794,1996,1190.8025
616,12,7246,6794,1997,550.041
617,12,7246,6794,1998,2979.4652
618,12,7246,6794,1999,1707.5219
619,12,7246,6794,2000,813.6545
620,12,7246,6794,2001,30204.2163
621,12,7246,6794,2002,14448.7958
622,12,7246,6794,2003,27434.8516
623,12,7246,6794,2004,43021.8174
624,12,7246,6794,2005,61164.2842
625,12,7246,6794,2006,14878.9897
626,12,7246,6794,2007,80749.9221
627,12,7246,6794,2008,36672.2623
628,12,7246,6794,2009,61809.2821
629,12,7246,6794,2010,33190.1942
630,12,7246,6794,2011,19517.413
631,12,7246,6794,2012,126370.7628
632,12,7246,6794,2013,14276.9056
633,12,7246,6794,2014,46673.0353
634,12,7246,6794,2015,21444.6944
635,12,7246,6794,2016,15006.8508
636,12,7246,6794,2017,36691.7726
637,12,7246,6794,2018,1223.8313
638,12,7246,6794,2019,29843.1997
639,12,7246,6794,2020,46376.2253
640,12,7246,6794,2021,29114.0243
641,12,7246,6792,1990,15468.2369
642,12,7246,6792,1991,15468.2369
643,12,7246,6792,1992,15468.2369
644,12,7246,6792,1993,15468.2369
645,12,7246,6792,1994,15468.2369
646,12,7246,6792,1995,15468.2369
647,12,7246,6792,1996,15539.9251
648,12,7246,6792,1997,14391.7559
649,12,7246,6792,1998,57799.4564
650,12,7246,6792,1999,20547.1958
651,12,7246,6792,2000,7620.5899
652,12,7246,6792,2001,16355.6613
653,12,7246,6792,2002,2768.877
654,12,7246,6792,2003,25391.8461
655,12,7246,6792,2004,17471.9316
656,12,7246,6792,2005,8371.4609
657,12,7246,6792,2006,4529.0769
658,12,7246,6792,2007,19577.3613
659,12,7246,6792,2008,2447.3741
660,12,7246,6792,2009,35309.8261
661,12,7246,6792,2010,20713.8156
662,12,7246,6792,2011,3027.0805
663,12,7246,6792,2012,42757.7201
664,12,7246,6792,2013,3155.4309
665,12,7246,6792,2014,42284.5684
666,12,7246,6792,2015,20755.3864
667,12,7246,6792,2016,7126.0093
668,12,7246,6792,2017,4593.6867
669,12,7246,6792,2018,0
670,12,7246,6792,2019,3327.057
671,12,7246,6792,2020,3241.4113
672,12,7246,6792,2021,3069.6554
673,12,7246,6760,1990,6089.1647
674,12,7246,6760,1991,6089.1647
675,12,7246,6760,1992,6089.1647
676,12,7246,6760,1993,6089.1647
677,12,7246,6760,1994,6089.1647
678,12,7246,6760,1995,6089.1647
679,12,7246,6760,1996,50.3351
680,12,7246,6760,1997,29.7014
681,12,7246,6760,1998,847.7267
682,12,7246,6760,1999,38.1013
683,12,7246,6760,2000,219.9884
684,12,7246,6760,2001,429.4485
685,12,7246,6760,2002,3285.2084
686,12,7246,6760,2003,4079.904
687,12,7246,6760,2004,2662.59
688,12,7246,6760,2005,6484.5565
689,12,7246,6760,2006,8417.3253
690,12,7246,6760,2007,14966.1118
691,12,7246,6760,2008,9018.3634
692,12,7246,6760,2009,4423.0594
693,12,7246,6760,2010,2769.8416
694,12,7246,6760,2011,6398.8041
695,12,7246,6760,2012,21622.1347
696,12,7246,6760,2013,730.0639
697,12,7246,6760,2014,3521.3056
698,12,7246,6760,2015,407.967
699,12,7246,6760,2016,4358.9373
700,12,7246,6760,2017,10865.0296
701,12,7246,6760,2018,85.883
702,12,7246,6760,2019,5432.3876
703,12,7246,6760,2020,12260.5852
704,12,7246,6760,2021,34912.923
705,12,7246,6789,1990,13628.5844
706,12,7246,6789,1991,13628.5844
707,12,7246,6789,1992,13628.5844
708,12,7246,6789,1993,13628.5844
709,12,7246,6789,1994,13628.5844
710,12,7246,6789,1995,13628.5844
711,12,7246,6789,1996,23764.0021
712,12,7246,6789,1997,16818.469
713,12,7246,6789,1998,27872.3195
714,12,7246,6789,1999,25581.1023
715,12,7246,6789,2000,87819.7493
716,12,7246,6789,2001,193.2581
717,12,7246,6789,2002,6548.9808
718,12,7246,6789,2003,4831.4317
719,12,7246,6789,2004,1803.7071
720,12,7246,6789,2005,4895.7164
721,12,7246,6789,2006,4316.0346
722,12,7246,6789,2007,23877.4025
723,12,7246,6789,2008,17993.9729
724,12,7246,6789,2009,3435.5325
725,12,7246,6789,2010,2383.3999
726,12,7246,6789,2011,11401.9312
727,12,7246,6789,2012,22674.6874
728,12,7246,6789,2013,2147.2458
729,12,7246,6789,2014,4595.0383
730,12,7246,6789,2015,644.166
731,12,7246,6789,2016,3650.3498
732,12,7246,6789,2017,15954.082
733,12,7246,6789,2018,21.4711
734,12,7246,6789,2019,5776.0422
735,12,7246,6789,2020,13570.4864
736,12,7246,6789,2021,21772.6154
737,12,7246,6993,1990,0
738,12,7246,6993,1991,0
739,12,7246,6993,1992,0
740,12,7246,6993,1993,0
741,12,7246,6993,1994,0
742,12,7246,6993,1995,0
743,12,7246,6993,1996,0
744,12,7246,6993,1997,0
745,12,7246,6993,1998,0
746,12,7246,6993,1999,0
747,12,7246,6993,2000,0
748,12,7246,6993,2001,0
749,12,7246,6993,2002,0
750,12,7246,6993,2003,0
751,12,7246,6993,2004,0
752,12,7246,6993,2005,0
753,12,7246,6993,2006,0
754,12,7246,6993,2007,0
755,12,7246,6993,2008,0
756,12,7246,6993,2009,0
757,12,7246,6993,2010,0
758,12,7246,6993,2011,0
759,12,7246,6993,2012,0
760,12,7246,6993,2013,0
761,12,7246,6993,2014,0
762,12,7246,6993,2015,0
763,12,7246,6993,2016,0
764,12,7246,6993,2017,0
765,12,7246,6993,2018,0
766,12,7246,6993,2019,0
767,12,7246,6993,2020,0
768,12,7246,6993,2021,0
769,16,7246,6796,1990,0
770,16,7246,6796,1991,0
771,16,7246,6796,1992,0
772,16,7246,6796,1993,0
773,16,7246,6796,1994,0
774,16,7246,6796,1995,0
775,16,7246,6796,1996,0
776,16,7246,6796,1997,0
777,16,7246,6796,1998,0
778,16,7246,6796,1999,0
779,16,7246,6796,2000,0
780,16,7246,6796,2001,0
781,16,7246,6796,2002,0
782,16,7246,6796,2003,0
783,16,7246,6796,2004,0
784,16,7246,6796,2005,0
785,16,7246,6796,2006,0
786,16,7246,6796,2007,0
787,16,7246,6796,2008,0
788,16,7246,6796,2009,0
789,16,7246,6796,2010,0
790,16,7246,6796,2011,0
791,16,7246,6796,2012,0
792,16,7246,6796,2013,0
793,16,7246,6796,2014,0
794,16,7246,6796,2015,0
795,16,7246,6796,2016,0
796,16,7246,6796,2017,0
797,16,7246,6796,2018,0
798,16,7246,6796,2019,0
799,16,7246,6796,2020,0
800,16,7246,6796,2021,0
801,16,7246,6797,1990,0
802,16,7246,6797,1991,0
803,16,7246,6797,1992,0
804,16,7246,6797,1993,0
805,16,7246,6797,1994,0
806,16,7246,6797,1995,0
807,16,7246,6797,1996,0
808,16,7246,6797,1997,0
809,16,7246,6797,1998,0
810,16,7246,6797,1999,0
811,16,7246,6797,2000,0
812,16,7246,6797,2001,0
813,16,7246,6797,2002,0
814,16,7246,6797,2003,0
815,16,7246,6797,2004,0
816,16,7246,6797,2005,0
817,16,7246,6797,2006,0
818,16,7246,6797,2007,0
819,16,7246,6797,2008,0
820,16,7246,6797,2009,0
821,16,7246,6797,2010,0
822,16,7246,6797,2011,0
823,16,7246,6797,2012,0
824,16,7246,6797,2013,0
825,16,7246,6797,2014,0
826,16,7246,6797,2015,0
827,16,7246,6797,2016,0
